token,type,score,cummulative percentage,english
megvan,VERB,8,74.83,"1 - (intransitive) to [still] exist##2 - (intransitive) to exist, to be accessible (e.g. a copy of a book)##3 - (intransitive) to be at hand, to have (the thing had is in the nominative case)##4 - (intransitive) to be at hand, to have (the thing had is in the nominative case)#(intransitive, past tense ""meglett"") to be found (something one has been looking for)##5 - (intransitive) to be at hand, to have (the thing had is in the nominative case)#(intransitive, past tense ""meglett"") to be gotten/caught by someone, gotcha##6 - (intransitive, past tense ""meglett"") to be ready, to be done (with something: -val/-vel)##7 - (intransitive, in past tense) (event, task) to be over##8 - (intransitive, in past tense) (event, task) to be over#(slang, vulgar, intransitive, in past tense) to be a sexual conquest (of: -nak/-nek); to have been scored with##9 - (intransitive, past tense ""meglett"") (goal, achievement) to have been reached, to have been succeeded at (by someone: -nak/-nek) (e.g. passing an exam)##10 - (intransitive) to be (doing) okay, all right, not too bad (in terms of health)##11 - (intransitive) to be (doing) okay, all right, not too bad (in terms of health)#(intransitive) to manage, do without something (nélkül)##12 - (intransitive) to get along, get on (well) with someone (-val/-vel)##13 - (intransitive) to be at least as much/many and perhaps more (when estimating a quantity)##14 - (intransitive) to be at least as much/many and perhaps more (when estimating a quantity)#(intransitive, arithmetics) (used when stating the result of a quotition)"
has,NOUN,8,74.85,"1 - belly, abdomen, stomach (in a broad sense, including the intestines)"
fönn,ADV,8,74.87,1 - alternative form of fenn or fent.
kenyérhéj,NOUN,8,74.88,
továbbvágtat,VERB,8,74.9
utánaszalad,VERB,8,74.92
bátorít,VERB,8,74.94,"1 - (transitive) to encourage, to urge"
lobogtat,VERB,8,74.96
jobb,ADJ,8,74.97,"1 - comparative degree of jó (“good”), better####1 - right (antonym of left)"
végigmegy,VERB,8,74.99
megjelenés,NOUN,8,75.01,1 - appearance
hideg,ADJ,8,75.03,"1 - cold (having a low temperature)##2 - cold, distant, unfeeling"
elhisz,VERB,8,75.05,1 - (transitive) to believe (such as a claim or someone's intention)
mind,ADV,8,75.06,"1 - with everyone, all (usually of persons)##2 - (formal) increasingly (used with comparative form)##3 - (up) until…, up to… (used with -ig; not (until) sooner than a given point in time)"
megérkezik,VERB,8,75.08,1 - (intransitive) to arrive (to get to a certain place)
nyitva,ADV,8,75.1,"1 - open (in an open state; especially with the verbs van, lesz, áll, hagy, marad, tart, and talál)"
kissé,ADV,8,75.12,1 - slightly
latinóra,NOUN,8,75.14,
notesz,NOUN,8,75.15,
nyel,VERB,8,75.17,"1 - (transitive) to swallow, gulp"
hirdet,VERB,8,75.19,1 - (transitive) to advertise
zsírpróba,NOUN,8,75.21,
felhasznál,VERB,8,75.23,"1 - (transitive) to use##2 - (transitive) to use up, consume"
alkalom,NOUN,8,75.25,"1 - occasion, opportunity, chance##2 - occasion (the time when something happens)##3 - time, occasion, instance, occurrence (see also the examples at alkalommal)##4 - event, meeting, session (of a group or community)"
könnycsepp,NOUN,8,75.26,1 - teardrop
helyesel,VERB,8,75.28,"1 - (transitive) to applaud, approve of, endorse, agree with (to express approval for something or someone)"
nyom,VERB,8,75.3,"1 - (transitive) to press, push##2 - (transitive) to weigh##3 - (transitive, slang) to do"
bánat,NOUN,8,75.32,"1 - repentance, regret##2 - sorrow, grief, distress"
visszaad,VERB,8,75.34,"1 - (transitive) to give back##2 - (transitive) to pay back, repay"
szavaz,VERB,8,75.35,"1 - (intransitive) to vote (to cast a vote; to assert a formalized choice in an election)##2 - (transitive) to vote, offer"
szétnéz,VERB,8,75.37,1 - (intransitive) to look around
másnap,ADV,8,75.39,"1 - (on) the next day, (on) the following day"
fiúk,NOUN,8,75.41,1 - nominative plural of fiú
kíváncsiság,NOUN,8,75.43,1 - curiosity
viselkedés,NOUN,8,75.44,"1 - behavior, conduct (especially in the sense of behavioural sciences; often with a neutral, descriptive point of view)"
kirándulás,NOUN,8,75.46,"1 - (singular only) sprain (the dislocation of a limb)##2 - excursion, trip, hike, outing"
kislegény,NOUN,8,75.48,
dehogy,ADV,8,75.5,
kert,NOUN,8,75.52,1 - garden (an outdoor area containing one or more types of plants)
kérdezget,VERB,8,75.53
tanácskozás,NOUN,8,75.55,"1 - conference, deliberation, discussion, consultation"
járás,NOUN,8,75.57,"1 - verbal noun of jár: (the act of) walking or going##2 - gait, (some kind of) walking (the way a person or an animal walks)##3 - walk (distance measured by the time required by walking)##4 - working, operation (of a machine, especially of a clock)##5 - movement, -wise (referring to the hour hand, i.e. clockwise or counter-clockwise)##6 - course (of stars, i.e. their trajectory)##7 - (administrative divisions) district (a low-level administrative division especially outside the capital city, a local administrative unit, comparable to a subregion, a municipality, or a community)##8 - (in compounds) the way something moves, proceeds, progresses, varies, or changes##9 - (in compounds) going to a place for some purpose##10 - (in compounds) a festivity involving procession"
hasal,VERB,8,75.59
lejön,VERB,8,75.61,"1 - (intransitive) to come down##2 - (intransitive) to come off##3 - (intransitive, informal) (need/s) to be deducted"
ijedt,ADJ,8,75.63,"1 - scared, frightened, alarmed, afraid"
köz,NOUN,8,75.64,"1 - a gap in space or time between two other parts#interval##2 - a gap in space or time between two other parts#gap, space, distance, margin##3 - a gap in space or time between two other parts#interfluve##4 - a gap in space or time between two other parts#small alley, lane (referring to the narrow space between building walls on either side)##5 - a gap in space or time between two other parts#(with a possessive suffix) connection, relationship, something to do with (between one thing and another; used with -hoz/-hez/-höz)##6 - a gap in space or time between two other parts#(with a possessive suffix) concern, business, have to do with something (as in none of someone's business; used with -hoz/-hez/-höz)##7 - community, the public (especially in phrases referring to the public interest or the common good)"
indián,NOUN,8,75.66,"1 - Native American, Amerindian, Indian"
egyenesen,ADV,8,75.68,"1 - in a straight line##2 - straight, directly, without detour##3 - plainly, openly, without reservation##4 - outright, absolutely"
változtat,VERB,8,75.7,1 - (transitive) to change (to make something into something different)
intézkedés,NOUN,8,75.72,"1 - measure, action"
vasrács,NOUN,8,75.73,
odaugrik,VERB,8,75.75,"**UGRIK**1 - (intransitive) to jump, leap, spring"
csillog,VERB,8,75.77,"1 - (intransitive) to shine, glitter, sparkle"
szekerce,NOUN,8,75.79,"1 - hatchet, axe, ax"
fénypont,NOUN,8,75.81,
biztat,VERB,8,75.82,"1 - (transitive) to encourage##2 - (transitive) to promise, to hold out promises or a possibility (with -val/-vel)##3 - (transitive) to persuade, talk someone into something##4 - (transitive, folksy, of animals) to urge, prod, goad on"
it,VERB,8,75.84
félrehajt,VERB,8,75.86
fojtogat,VERB,8,75.88
lépt,NOUN,8,75.9,
elalszik,VERB,8,75.91,"1 - (intransitive) to fall asleep, drift off, go to sleep##2 - (intransitive) to oversleep (miss something by sleeping)##3 - (intransitive, of fire or a candle) to burn out, to be extinguished##4 - (intransitive) to die away, die down (of a matter or case: get out of people's focus)##5 - (transitive) to have some body part gone to sleep (go stiff due to the wrong lying position)"
szolgálatkész,ADJ,8,75.93,
gyújtó,NOUN,8,75.95,
bevonul,VERB,8,75.97,"**VONUL**1 - (intransitive) to march (to walk with long, regular strides)##2 - (intransitive) to migrate (birds)"
cserép,NOUN,8,75.99,"1 - shard##2 - tile, rooftile (a regularly-shaped slab of clay or other material, affixed to cover a roof)##3 - pot, flowerpot (a vessel used to hold soil for growing plants, particularly flowers)"
dől,VERB,8,76.01,"1 - (intransitive) to topple, to tumble (optionally with lative suffixes)##2 - (intransitive) to slope, to tilt, to incline (optionally with felé)##3 - (intransitive) to lean, to be propped against something (with -nak/-nek)##4 - (intransitive) to gush, to pour, to reek (the origin of the liquid or odor is expressed with -ból/-ből or -ról/-ről)"
gyerünk,VERB,8,76.02,1 - first-person plural subjunctive present indefinite of jön
kövezet,NOUN,8,76.04,
járókelő,NOUN,8,76.06,1 - passer-by (a person who is passing by)
előhúz,VERB,8,76.08,"**HÚZ**1 - (transitive) to pull, draw##2 - (intransitive, ergative, slang) to leave, take off, roll, split, vamoose, buzz off (usually with an adverb of place, whether expressing the destination, or the departure like innen (“from here”), or both)"
üt,VERB,8,76.1,"1 - (transitive) to hit, strike, beat, knock, slap, smack##2 - (intransitive) to take after (after someone: -ra/-re)"
föltet,VERB,8,76.11
szemüveg,NOUN,8,76.13,"1 - glasses, eyeglass"
hazamehet,VERB,8,76.15
gyűjt,VERB,8,76.17,"1 - (transitive) to collect, to gather"
veréb,NOUN,8,76.19,1 - sparrow
vettetek,VERB,8,76.2,1 - second-person plural indicative past indefinite of vesz
hatos,NOUN,8,76.22,1 - the number six##2 - (music) sextet
emlékezik,VERB,8,76.24,1 - (intransitive) to commemorate (someone or something: -ról/-ről)##2 - (intransitive) alternative form of emlékszik: to remember (someone or something: -ra/-re)
tagdíj,NOUN,8,76.26,"1 - membership fee, dues"
közbevág,VERB,8,76.28
pecsétnyomó,NOUN,8,76.29,
tovább-ot,NOUN,8,76.31,
alászolgája,NOUN,8,76.33,
mesél,VERB,8,76.35,"1 - (transitive) to tell someone (-nak/-nek) a story (-t/-ot/-at/-et/-öt; about someone or something: -ról/-ről)##2 - to tell, narrate, recount##3 - to spin a yarn, tell a tall story (to lie)"
megmutat,VERB,8,76.37,1 - (transitive) to point out##2 - (transitive) to reveal##3 - (transitive) to show
csengő,NOUN,8,76.38,1 - bell (a percussive instrument made of metal or other hard material)##2 - bell (signal at a school)
dicsőség,NOUN,8,76.4,"1 - glory, honour, honor, fame"
szivarvég,NOUN,8,76.42,
felugrik,VERB,8,76.44,"**UGRIK**1 - (intransitive) to jump, leap, spring"
szú,NOUN,8,76.46,"1 - (loosely) woodborer, woodworm##2 - deathwatch beetle, furniture beetle, or another woodboring beetle##3 - (in compounds with csont (“bone”) or fog (“tooth”), folksy) caries, decay"
szolgálat,NOUN,8,76.48,"1 - service, duty"
süvölt,VERB,8,76.49
dúlt-fúl,VERB,8,76.51
belevág,VERB,8,76.53,"1 - (intransitive) to cut into (e.g. an unopened package; with -ba/-be)##2 - (transitive) to stick something into something (with -ba/-be)##3 - (transitive) to throw something into something (with -ba/-be)##4 - (transitive) to hit, bang, bump, stub a body part into something (with -ba/-be)##5 - (intransitive, of lightning) to strike (with -ba/-be)##6 - (intransitive) to start suddenly and/or vigorously, set about, go ahead, plunge into, embark (e.g. on a project; with -ba/-be)##7 - (intransitive) to interrupt, butt in, cut in, break in, barge in, cut off, push in (with -ba/-be)"
berohan,VERB,8,76.55,"**ROHAN**1 - (intransitive) to rush, to hurry##2 - (intransitive) to run, to sprint"
idős,ADJ,8,76.57,"1 - old (not young), elderly##2 - year(s) old (referring to years of age)##3 - (in the comparative idősb or idősebb) senior, Sr. (a title used before a father's name when his son is given the same name, abbreviated as id.)"
szemöldök,NOUN,8,76.58,1 - eyebrow
megbíz,VERB,8,76.6,"1 - (transitive) to entrust, charge, commission someone with some task (-val/-vel)"
erid,VERB,8,76.62
fogadalom,NOUN,8,76.64,"1 - pledge, resolution (solemn promise)"
elsápad,VERB,8,76.66,"**SÁPAD**1 - (intransitive, of a face) to grow pale"
kipirul,VERB,8,76.67,"**PIRUL**1 - (intransitive) to blush (to become red in the face due to shyness, shame, excitement, or embarrassment)##2 - (intransitive, cooking) to brown, toast (to become brown during cooking or toasting)"
elmosolyodik,VERB,8,76.69
feldob,VERB,8,76.71,"1 - (transitive) to throw up something in the air##2 - (transitive, colloquial) to make someone or something cheerful, cheer up"
lépte,NOUN,8,76.73,"1 - his/her/its step or its noise/sound##2 - (chiefly with adverbs that form set phrases with the verb lép) his/her/its stepping, moving, ascending"
leszünk,VERB,8,76.75,1 - first-person plural indicative future indefinite of van##2 - first-person plural indicative present indefinite of lesz
botrány,NOUN,8,76.76,1 - scandal (incident that brings disgrace)
járul,VERB,8,76.78,"1 - (intransitive) to appear before someone, to present oneself before someone##2 - (intransitive) to add to something"
odasiet,VERB,8,76.8,**SIET**1 - (intransitive) to hurry##2 - (intransitive) to be fast (of clock or watch: ahead of the correct time)
elpirul,VERB,8,76.82,"1 - (intransitive) to blush (to become red in the face due to shyness, shame, excitement, or embarrassment, with something: -ban/-ben)"
odasomfordál,VERB,8,76.84
zászlóaljparancsnok,NOUN,8,76.86,
3.,ADJ,8,76.87,
megkezd,VERB,8,76.89,"1 - (transitive) to begin, to start (to initiate or take the first step into something)"
nézzetek,VERB,8,76.91,1 - second-person plural subjunctive present indefinite of néz
beszalad,VERB,8,76.93,**SZALAD**1 - (intransitive) to run
felolvas,VERB,8,76.95,"**OLVAS**1 - (transitive) to read##2 - (transitive, archaic, folksy) to count"
ámbátor,NOUN,8,76.96,
szemle,NOUN,8,76.98,"1 - inspection, survey, review, examination, (official) visit##2 - review (a periodical)##3 - parade, (military) display, muster, troop inspection"
mozgolódás,NOUN,8,77.0,
kopogtat,VERB,8,77.02
megjön,VERB,8,77.04,"**JÖN**1 - (intransitive) to come##2 - (intransitive) to get into a state (e.g. motion, excitement)##3 - (intransitive) to be one’s turn, to be in turn, to be next (to succeed in a sequence)##4 - (intransitive, colloquial) to owe (someone: -nak/-nek)"
megbán,VERB,8,77.05,1 - (transitive) to regret (to feel sorry about some past thing)
sorakozik,VERB,8,77.07,1 - (intransitive) to align (to form in line)
ülés,NOUN,8,77.09,"1 - sitting (the act of sitting)##2 - seat (part of an object or individual directly involved in sitting)##3 - session, meeting"
szónok,NOUN,8,77.11,"1 - speaker, orator, rhetor"
zörgetés,NOUN,8,77.13,
odakiált,VERB,8,77.14,"1 - (transitive) to hail, shout, yell something (to someone -nak/-nek) (to call out loudly to someone)"
hazudta,VERB,8,77.16
mozgolódik,VERB,8,77.18
betűs,NOUN,8,77.2,
kerekedik,VERB,8,77.22
érdeklődés,NOUN,8,77.24,1 - verbal noun of érdeklődik##2 - interest (shown)
körülvesz,VERB,8,77.25,"1 - (transitive) to surround, encircle"
jelzés,NOUN,8,77.27,"1 - signal, signalling, mark, marking"
jelentik,VERB,8,77.29
megharsan,VERB,8,77.31,"**HARSAN**1 - (intransitive, literary) to blare, sound (to make a loud sound such as of a trumpet)##2 - (intransitive, rare, of a voice) to blare (to proclaim loudly sounding like the blare of a trumpet)"
válaszol,VERB,8,77.33,"1 - (ambitransitive) to reply, answer (to something: -ra/-re, to someone: -nak/-nek)"
kifejezés,NOUN,8,77.34,"1 - verbal noun of kifejez: the act of expressing something##2 - expression, phrase, term, idiom (particular way of phrasing an idea)##3 - expression (facial appearance usually associated with an emotion)"
